age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
39.0,4,282729.22,3.0,2,2,1,1,0,0.0,0.0,40.0,0,0
30.0,4,43120.855,10.0,2,2,1,0,0,0.0,0.0,36.0,1,0
87.348236,4,150318.4,9.0,2,3,1,0,0,0.0,0.0,24.091303,1,0
43.0,4,52541.652,9.0,2,2,1,0,0,0.0,0.0,20.0,1,0
36.0,4,200534.23,9.0,2,2,1,0,0,0.0,0.0,35.0,1,0
29.0,4,107199.04,9.0,2,3,1,0,0,0.0,0.0,40.0,1,0
38.0,4,321226.0,10.0,2,6,1,0,0,0.0,0.0,40.0,1,0
29.0,6,317472.72,10.0,0,2,2,-1,1,0.0,0.0,40.0,1,0
19.0,4,312819.47,10.0,0,3,3,1,1,0.0,0.0,40.0,1,0
35.0,4,51515.176,9.0,2,2,1,0,0,0.0,0.0,40.0,1,0
21.0,4,204360.78,5.0,2,2,1,0,1,0.0,0.0,40.0,1,0
40.0,4,206600.67,9.0,1,3,0,0,1,0.0,0.0,20.0,1,0
18.0,4,83570.55,7.0,0,2,3,0,0,0.0,0.0,22.283588,1,0
71.0,5,29464.904,14.0,2,1,1,0,0,0.0,0.0,20.0,1,0
50.0,5,112917.07,13.0,-1,1,0,0,0,0.0,0.0,15.0,1,0
29.0,4,476675.56,9.0,2,5,1,0,0,0.0,0.0,40.0,0,0
55.0,4,136384.17,6.0,-1,6,0,0,1,0.0,0.0,40.0,1,0
34.0,4,196188.86,9.0,2,2,1,0,0,0.0,0.0,40.0,0,0
58.0,4,32863.777,14.0,2,2,1,0,0,0.0,0.0,82.853004,1,0
19.0,4,193786.64,10.0,0,3,3,0,0,0.0,0.0,15.0,1,0
24.0,4,128782.9,5.0,0,2,2,0,0,0.0,0.0,45.0,1,0
17.0,4,143325.27,7.0,0,1,3,0,1,0.0,0.0,1.6010386,1,0
41.0,4,21427.66,13.0,-1,5,2,0,1,0.0,0.0,35.0,1,0
21.0,4,181787.69,10.0,2,3,1,0,1,0.0,0.0,40.0,1,0
41.0,4,109370.92,13.0,0,3,3,-1,1,1201.8014,0.0,40.0,1,0
61.0,4,88440.945,1.0,-1,3,0,-1,1,2174.0,0.0,30.0,0,0
23.0,5,37219.754,9.0,0,1,0,0,0,0.0,0.0,55.0,1,0
27.0,4,34291.88,9.0,0,3,0,0,1,0.0,2091.9563,40.0,1,0
25.0,4,224383.3,9.0,0,5,3,0,1,0.0,0.0,40.0,1,0
42.0,4,292780.94,9.0,0,7,0,0,0,0.0,0.0,35.0,1,0
30.0,4,232048.94,4.0,-1,3,2,0,1,0.0,0.0,40.0,0,0
23.0,4,290744.72,13.0,0,2,3,0,0,0.0,0.0,30.0,1,0
35.0,4,62533.445,9.0,-1,1,2,0,0,0.0,0.0,60.0,1,0
54.0,4,130668.29,9.0,2,2,1,0,0,0.0,0.0,40.0,1,0
62.0,4,111417.81,9.0,-1,2,0,0,1,0.0,0.0,37.0,1,0
20.000868,4,166159.34,9.0,0,2,0,0,0,0.0,0.0,40.0,1,0
26.0,4,211519.19,4.0,1,2,2,0,0,0.0,0.0,40.0,0,0
42.0,4,194866.52,9.0,-1,3,0,0,1,0.0,0.0,40.0,1,0
33.0,3,52851.79,13.0,0,3,0,0,0,0.0,0.0,40.0,1,0
58.0,6,27269.83,13.0,-1,2,0,0,0,0.0,0.0,40.0,1,0
43.0,5,123675.516,9.0,2,6,1,0,0,0.0,0.0,40.0,1,0
32.0,4,343337.22,9.0,-1,5,0,0,1,4327.761,0.0,40.0,1,0
29.782896,4,182625.22,10.0,0,6,0,1,1,0.0,0.0,40.0,1,0
